nom,adresse
Bustronome Paris,"2 Avenue Kleber, 75016 Paris France"
Bus Toqué,"107 Av. Des Champs Élysées, 75008 Paris France"
Pizzeria Arrivederci,"47 rue Gay Lussac, 75005 Paris France"
Ciel de Paris,"33 Avenue Du Maine 56th Floor, Montparnasse Tower, 75015 Paris France"
Angelina Paris,"226 Rue De Rivoli, 75001 Paris France"
Pizzamore Paris,"121 Avenue Du Maine, 75014 Paris France"
Le Bouillon Chartier Grands Boulevards,"7 Rue Du Faubourg Montmartre Metro Grands Boulevards, 75009 Paris France"
La Crêperie,"7 Rue Joseph de Maistre, 75018 Paris France"
Gigi Paris,"15 Avenue Montaigne, 75008 Paris France"
Il Etait Un Square,"54 Rue Corvisart, 75013 Paris France"
